18
    0.19668E+02;    0.25020E+00;    0.29853E+02;    0.20057E+01;    0.28862E+01;    0.17153E+02;    0.79937E+02;    0.92125E+00;    0.25256E+00;    0.19912E+02;    0.55894E+05;    0.25312E+02;    0.40679E+02;    0.90001E+00;    0.86352E-02;    0.24981E-01;    0.21248E-02;    0.36005E+00; normal    
    0.19948E+02;    0.25277E+00;    0.30024E+02;    0.20094E+01;    0.28752E+01;    0.16880E+02;    0.79675E+02;    0.89732E+00;    0.24902E+00;    0.20048E+02;    0.55665E+05;    0.25933E+02;    0.40930E+02;    0.90544E+00;    0.17794E-01;   -0.30127E-02;   -0.41837E-02;   -0.54546E+00; normal    
    0.19882E+02;    0.24860E+00;    0.30175E+02;    0.19994E+01;    0.28827E+01;    0.17073E+02;    0.80027E+02;    0.89424E+00;    0.24809E+00;    0.19966E+02;    0.56405E+05;    0.25462E+02;    0.40759E+02;    0.89745E+00;   -0.80293E-02;   -0.80128E-02;   -0.30013E-02;   -0.81685E+00; normal    
    0.20075E+02;    0.25268E+00;    0.30119E+02;    0.20102E+01;    0.28896E+01;    0.17007E+02;    0.79987E+02;    0.89606E+00;    0.24755E+00;    0.19836E+02;    0.56769E+05;    0.24972E+02;    0.40605E+02;    0.90457E+00;   -0.35952E-02;   -0.54546E-02;   -0.13672E-02;   -0.12651E+01; normal    
    0.20185E+02;    0.25321E+00;    0.30009E+02;    0.19935E+01;    0.28309E+01;    0.17203E+02;    0.79996E+02;    0.89781E+00;    0.25086E+00;    0.20203E+02;    0.55757E+05;    0.25344E+02;    0.40697E+02;    0.89825E+00;   -0.39146E-01;    0.22024E-02;    0.31121E-03;   -0.19289E+01; normal    
    0.20022E+02;    0.24634E+00;    0.30036E+02;    0.20014E+01;    0.28507E+01;    0.17276E+02;    0.79889E+02;    0.89787E+00;    0.24856E+00;    0.19954E+02;    0.56121E+05;    0.24626E+02;    0.40641E+02;    0.91247E+00;   -0.34916E-01;    0.66263E-03;    0.12339E-02;   -0.18882E+01; normal    
    0.19852E+02;    0.24712E+00;    0.30126E+02;    0.20051E+01;    0.28387E+01;    0.17281E+02;    0.80130E+02;    0.90106E+00;    0.24699E+00;    0.20082E+02;    0.56510E+05;    0.25281E+02;    0.40438E+02;    0.89302E+00;   -0.25516E-01;    0.55327E-02;   -0.33059E-02;   -0.19854E+01; normal    
    0.20069E+02;    0.25113E+00;    0.29921E+02;    0.20084E+01;    0.28803E+01;    0.17251E+02;    0.80076E+02;    0.89631E+00;    0.24811E+00;    0.20075E+02;    0.56215E+05;    0.25563E+02;    0.40609E+02;    0.89631E+00;   -0.30815E-01;   -0.88677E-03;   -0.34565E-02;   -0.24946E+01; normal    
    0.20181E+02;    0.25424E+00;    0.29941E+02;    0.20004E+01;    0.28476E+01;    0.16919E+02;    0.79995E+02;    0.88895E+00;    0.25189E+00;    0.20157E+02;    0.56226E+05;    0.25081E+02;    0.40702E+02;    0.91066E+00;   -0.56566E-01;   -0.10527E-01;    0.25083E-02;   -0.43501E+01; normal    
    0.20009E+02;    0.24734E+00;    0.29829E+02;    0.19945E+01;    0.28368E+01;    0.16896E+02;    0.79892E+02;    0.90572E+00;    0.25023E+00;    0.20039E+02;    0.56664E+05;    0.25322E+02;    0.40882E+02;    0.90220E+00;   -0.71762E-01;   -0.15168E-02;   -0.22271E-03;   -0.50224E+01; normal    
